NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: Rocky Point, Eld Inlet 
State:  
Stationid: TWC1115
ReferencedToStationName: Seattle
ReferencedToStationId: 9447130
HeightOffsetLow: * 1.1
HeightOffsetHigh: * 1.31
TimeOffsetLow: 56
TimeOffsetHigh: 39
Prediction Type: Subordinate
From: 20240701 01:24 - 20240731 22:32
Units: Feet
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time	Pred	High/Low
2024/07/01	Mon	01:24	15.66	H
2024/07/01	Mon	09:01	-0.46	L
2024/07/01	Mon	16:11	12.05	H
2024/07/01	Mon	20:51	7.59	L
2024/07/02	Tue	02:07	15.32	H
2024/07/02	Tue	09:49	-1.73	L
2024/07/02	Tue	17:25	13.56	H
2024/07/02	Tue	22:11	8.47	L
2024/07/03	Wed	02:51	14.91	H
2024/07/03	Wed	10:34	-2.59	L
2024/07/03	Wed	18:21	14.72	H
2024/07/03	Wed	23:21	8.79	L
2024/07/04	Thu	03:38	14.47	H
2024/07/04	Thu	11:18	-3.04	L
2024/07/04	Thu	19:07	15.41	H
2024/07/05	Fri	00:21	8.74	L
2024/07/05	Fri	04:25	14.02	H
2024/07/05	Fri	12:01	-3.13	L
2024/07/05	Fri	19:47	15.66	H
2024/07/06	Sat	01:13	8.49	L
2024/07/06	Sat	05:13	13.57	H
2024/07/06	Sat	12:43	-2.93	L
2024/07/06	Sat	20:23	15.64	H
2024/07/07	Sun	01:59	8.12	L
2024/07/07	Sun	06:01	13.08	H
2024/07/07	Sun	13:24	-2.51	L
2024/07/07	Sun	20:55	15.48	H
2024/07/08	Mon	02:43	7.66	L
2024/07/08	Mon	06:49	12.54	H
2024/07/08	Mon	14:04	-1.88	L
2024/07/08	Mon	21:24	15.30	H
2024/07/09	Tue	03:26	7.10	L
2024/07/09	Tue	07:39	11.90	H
2024/07/09	Tue	14:43	-1.01	L
2024/07/09	Tue	21:52	15.16	H
2024/07/10	Wed	04:10	6.43	L
2024/07/10	Wed	08:31	11.17	H
2024/07/10	Wed	15:21	0.12	L
2024/07/10	Wed	22:20	15.03	H
2024/07/11	Thu	04:55	5.64	L
2024/07/11	Thu	09:28	10.42	H
2024/07/11	Thu	15:59	1.52	L
2024/07/11	Thu	22:49	14.86	H
2024/07/12	Fri	05:41	4.73	L
2024/07/12	Fri	10:34	9.77	H
2024/07/12	Fri	16:37	3.15	L
2024/07/12	Fri	23:19	14.62	H
2024/07/13	Sat	06:28	3.73	L
2024/07/13	Sat	11:52	9.44	H
2024/07/13	Sat	17:19	4.91	L
2024/07/13	Sat	23:50	14.29	H
2024/07/14	Sun	07:15	2.69	L
2024/07/14	Sun	13:27	9.68	H
2024/07/14	Sun	18:10	6.63	L
2024/07/15	Mon	00:24	13.90	H
2024/07/15	Mon	08:02	1.63	L
2024/07/15	Mon	15:22	10.64	H
